"Location","Year","Series","Series Code","Month","Permits"
"Bexar County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,8,3
"Bexar County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,9,4
"Bexar County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,10,3
"Bexar County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,11,0
"Bexar County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,12,4
"Bexar County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,1,594
"Bexar County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,2,5
"Bexar County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,3,10
"Bexar County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,4,7
"Bexar County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,5,334
"Bexar County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,6,390
"Bexar County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,7,400
"Bexar County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,8,24
"Bexar County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,9,313
"Bexar County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,10,369
"Bexar County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,11,30
"Bexar County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,12,406
"Bexar County, TX",2019,"Total Units",1,1,123
"Bexar County, TX",2019,"Total Units",1,2,"2,365"
"Bexar County, TX",2019,"Total Units",1,3,412
"Bexar County, TX",2019,"Total Units",1,4,"1,301"
"Bexar County, TX",2019,"Total Units",1,5,514
"Bexar County, TX",2019,"Total Units",1,6,894
"Bexar County, TX",2019,"Total Units",1,7,910
"Bexar County, TX",2019,"Total Units",1,8,"1,081"
"Bexar County, TX",2019,"Total Units",1,9,"1,114"
"Bexar County, TX",2019,"Total Units",1,10,693
"Bexar County, TX",2019,"Total Units",1,11,"1,087"
"Bexar County, TX",2019,"Total Units",1,12,663
"Bexar County, TX",2019,"Units in Single Family Structures",2,1,94
"Bexar County, TX",2019,"Units in Single Family Structures",2,2,501
"Bexar County, TX",2019,"Units in Single Family Structures",2,3,391
"Bexar County, TX",2019,"Units in Single Family Structures",2,4,412
"Bexar County, TX",2019,"Units in Single Family Structures",2,5,503
"Bexar County, TX",2019,"Units in Single Family Structures",2,6,442
"Bexar County, TX",2019,"Units in Single Family Structures",2,7,493
"Bexar County, TX",2019,"Units in Single Family Structures",2,8,527
"Bexar County, TX",2019,"Units in Single Family Structures",2,9,405
"Bexar County, TX",2019,"Units in Single Family Structures",2,10,543
"Bexar County, TX",2019,"Units in Single Family Structures",2,11,425
"Bexar County, TX",2019,"Units in Single Family Structures",2,12,345
"Bexar County, TX",2019,"Units in All Multifamily Structures",3,1,29
"Bexar County, TX",2019,"Units in All Multifamily Structures",3,2,"1,864"
"Bexar County, TX",2019,"Units in All Multifamily Structures",3,3,21
"Bexar County, TX",2019,"Units in All Multifamily Structures",3,4,889
"Bexar County, TX",2019,"Units in All Multifamily Structures",3,5,11
"Bexar County, TX",2019,"Units in All Multifamily Structures",3,6,452
"Bexar County, TX",2019,"Units in All Multifamily Structures",3,7,417
"Bexar County, TX",2019,"Units in All Multifamily Structures",3,8,554
"Bexar County, TX",2019,"Units in All Multifamily Structures",3,9,709
"Bexar County, TX",2019,"Units in All Multifamily Structures",3,10,150
"Bexar County, TX",2019,"Units in All Multifamily Structures",3,11,662
"Bexar County, TX",2019,"Units in All Multifamily Structures",3,12,318
"Bexar County, TX",2019,"Units in 2-Unit Multifamily Structures",4,1,0
"Bexar County, TX",2019,"Units in 2-Unit Multifamily Structures",4,2,0
"Bexar County, TX",2019,"Units in 2-Unit Multifamily Structures",4,3,0
"Bexar County, TX",2019,"Units in 2-Unit Multifamily Structures",4,4,4
"Bexar County, TX",2019,"Units in 2-Unit Multifamily Structures",4,5,0
"Bexar County, TX",2019,"Units in 2-Unit Multifamily Structures",4,6,0
"Bexar County, TX",2019,"Units in 2-Unit Multifamily Structures",4,7,0
"Bexar County, TX",2019,"Units in 2-Unit Multifamily Structures",4,8,4
"Bexar County, TX",2019,"Units in 2-Unit Multifamily Structures",4,9,2
"Bexar County, TX",2019,"Units in 2-Unit Multifamily Structures",4,10,36
"Bexar County, TX",2019,"Units in 2-Unit Multifamily Structures",4,11,0
"Bexar County, TX",2019,"Units in 2-Unit Multifamily Structures",4,12,0
"Bexar County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,1,24
"Bexar County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,2,11
"Bexar County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,3,16
"Bexar County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,4,15
"Bexar County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,5,4
"Bexar County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,6,26
"Bexar County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,7,4
"Bexar County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,8,16
"Bexar County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,9,12
