"Location","Year","Series","Series Code","Month","Permits"
"Dallas County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,9,12
"Dallas County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,10,4
"Dallas County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,11,4
"Dallas County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,12,8
"Dallas County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,1,577
"Dallas County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,2,80
"Dallas County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,3,40
"Dallas County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,4,346
"Dallas County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,5,"1,184"
"Dallas County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,6,"1,053"
"Dallas County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,7,45
"Dallas County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,8,0
"Dallas County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,9,316
"Dallas County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,10,156
"Dallas County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,11,557
"Dallas County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,12,444
"Dallas County, TX",2021,"Total Units",1,1,"2,737"
"Dallas County, TX",2021,"Total Units",1,2,"1,311"
"Dallas County, TX",2021,"Total Units",1,3,"1,596"
"Dallas County, TX",2021,"Total Units",1,4,"1,072"
"Dallas County, TX",2021,"Total Units",1,5,"1,583"
"Dallas County, TX",2021,"Total Units",1,6,"2,860"
"Dallas County, TX",2021,"Total Units",1,7,"1,052"
"Dallas County, TX",2021,"Total Units",1,8,"1,394"
"Dallas County, TX",2021,"Total Units",1,9,"1,210"
"Dallas County, TX",2021,"Total Units",1,10,"1,482"
"Dallas County, TX",2021,"Total Units",1,11,"1,383"
"Dallas County, TX",2021,"Total Units",1,12,"1,283"
"Dallas County, TX",2021,"Units in Single Family Structures",2,1,696
