"Location","Year","Series","Series Code","Month","Permits"
"Travis County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,5,"2,370"
"Travis County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,6,934
"Travis County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,7,413
"Travis County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,8,264
"Travis County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,9,637
"Travis County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,10,319
"Travis County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,11,526
"Travis County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,12,954
"Travis County, TX",2019,"Total Units",1,1,633
"Travis County, TX",2019,"Total Units",1,2,"1,430"
"Travis County, TX",2019,"Total Units",1,3,"2,389"
"Travis County, TX",2019,"Total Units",1,4,"2,378"
"Travis County, TX",2019,"Total Units",1,5,"2,631"
"Travis County, TX",2019,"Total Units",1,6,998
"Travis County, TX",2019,"Total Units",1,7,"1,587"
"Travis County, TX",2019,"Total Units",1,8,"3,337"
"Travis County, TX",2019,"Total Units",1,9,"1,270"
"Travis County, TX",2019,"Total Units",1,10,"2,083"
"Travis County, TX",2019,"Total Units",1,11,952
"Travis County, TX",2019,"Total Units",1,12,"1,725"
"Travis County, TX",2019,"Units in Single Family Structures",2,1,590
"Travis County, TX",2019,"Units in Single Family Structures",2,2,681
"Travis County, TX",2019,"Units in Single Family Structures",2,3,911
"Travis County, TX",2019,"Units in Single Family Structures",2,4,"1,053"
"Travis County, TX",2019,"Units in Single Family Structures",2,5,946
"Travis County, TX",2019,"Units in Single Family Structures",2,6,740
"Travis County, TX",2019,"Units in Single Family Structures",2,7,691
"Travis County, TX",2019,"Units in Single Family Structures",2,8,"1,026"
"Travis County, TX",2019,"Units in Single Family Structures",2,9,706
"Travis County, TX",2019,"Units in Single Family Structures",2,10,753
"Travis County, TX",2019,"Units in Single Family Structures",2,11,693
"Travis County, TX",2019,"Units in Single Family Structures",2,12,730
"Travis County, TX",2019,"Units in All Multifamily Structures",3,1,43
"Travis County, TX",2019,"Units in All Multifamily Structures",3,2,749
"Travis County, TX",2019,"Units in All Multifamily Structures",3,3,"1,478"
"Travis County, TX",2019,"Units in All Multifamily Structures",3,4,"1,325"
"Travis County, TX",2019,"Units in All Multifamily Structures",3,5,"1,685"
"Travis County, TX",2019,"Units in All Multifamily Structures",3,6,258
"Travis County, TX",2019,"Units in All Multifamily Structures",3,7,896
"Travis County, TX",2019,"Units in All Multifamily Structures",3,8,"2,311"
"Travis County, TX",2019,"Units in All Multifamily Structures",3,9,564
"Travis County, TX",2019,"Units in All Multifamily Structures",3,10,"1,330"
"Travis County, TX",2019,"Units in All Multifamily Structures",3,11,259
"Travis County, TX",2019,"Units in All Multifamily Structures",3,12,995
"Travis County, TX",2019,"Units in 2-Unit Multifamily Structures",4,1,2
"Travis County, TX",2019,"Units in 2-Unit Multifamily Structures",4,2,2
"Travis County, TX",2019,"Units in 2-Unit Multifamily Structures",4,3,0
"Travis County, TX",2019,"Units in 2-Unit Multifamily Structures",4,4,2
"Travis County, TX",2019,"Units in 2-Unit Multifamily Structures",4,5,0
"Travis County, TX",2019,"Units in 2-Unit Multifamily Structures",4,6,26
"Travis County, TX",2019,"Units in 2-Unit Multifamily Structures",4,7,40
"Travis County, TX",2019,"Units in 2-Unit Multifamily Structures",4,8,30
"Travis County, TX",2019,"Units in 2-Unit Multifamily Structures",4,9,24
"Travis County, TX",2019,"Units in 2-Unit Multifamily Structures",4,10,44
"Travis County, TX",2019,"Units in 2-Unit Multifamily Structures",4,11,24
"Travis County, TX",2019,"Units in 2-Unit Multifamily Structures",4,12,20
"Travis County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,1,4
"Travis County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,2,0
"Travis County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,3,16
"Travis County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,4,4
"Travis County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,5,0
"Travis County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,6,0
"Travis County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,7,3
"Travis County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,8,0
"Travis County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,9,0
"Travis County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,10,0
"Travis County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,11,0
"Travis County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,12,0
"Travis County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,1,37
"Travis County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,2,747
"Travis County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,3,"1,462"
"Travis County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,4,"1,319"
"Travis County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,5,"1,685"
"Travis County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,6,232
"Travis County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,7,853
"Travis County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,8,"2,281"
"Travis County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,9,540
"Travis County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,10,"1,286"
"Travis County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,11,235
"Travis County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,12,975
"Travis County, TX",2020,"Total Units",1,1,"3,058"
"Travis County, TX",2020,"Total Units",1,2,"2,533"
"Travis County, TX",2020,"Total Units",1,3,"1,500"
"Travis County, TX",2020,"Total Units",1,4,"2,447"
"Travis County, TX",2020,"Total Units",1,5,"1,959"
"Travis County, TX",2020,"Total Units",1,6,"1,346"
"Travis County, TX",2020,"Total Units",1,7,"3,020"
"Travis County, TX",2020,"Total Units",1,8,"2,188"
"Travis County, TX",2020,"Total Units",1,9,"3,080"
"Travis County, TX",2020,"Total Units",1,10,"1,500"
"Travis County, TX",2020,"Total Units",1,11,"1,519"
"Travis County, TX",2020,"Total Units",1,12,"2,509"
"Travis County, TX",2020,"Units in Single Family Structures",2,1,701
"Travis County, TX",2020,"Units in Single Family Structures",2,2,811
"Travis County, TX",2020,"Units in Single Family Structures",2,3,973
"Travis County, TX",2020,"Units in Single Family Structures",2,4,776
"Travis County, TX",2020,"Units in Single Family Structures",2,5,607
"Travis County, TX",2020,"Units in Single Family Structures",2,6,645
"Travis County, TX",2020,"Units in Single Family Structures",2,7,"1,122"
"Travis County, TX",2020,"Units in Single Family Structures",2,8,860
"Travis County, TX",2020,"Units in Single Family Structures",2,9,968
"Travis County, TX",2020,"Units in Single Family Structures",2,10,931
"Travis County, TX",2020,"Units in Single Family Structures",2,11,"1,017"
"Travis County, TX",2020,"Units in Single Family Structures",2,12,971
"Travis County, TX",2020,"Units in All Multifamily Structures",3,1,"2,357"
"Travis County, TX",2020,"Units in All Multifamily Structures",3,2,"1,722"
"Travis County, TX",2020,"Units in All Multifamily Structures",3,3,527
"Travis County, TX",2020,"Units in All Multifamily Structures",3,4,"1,671"
"Travis County, TX",2020,"Units in All Multifamily Structures",3,5,"1,352"
"Travis County, TX",2020,"Units in All Multifamily Structures",3,6,701
"Travis County, TX",2020,"Units in All Multifamily Structures",3,7,"1,898"
"Travis County, TX",2020,"Units in All Multifamily Structures",3,8,"1,328"
"Travis County, TX",2020,"Units in All Multifamily Structures",3,9,"2,112"
"Travis County, TX",2020,"Units in All Multifamily Structures",3,10,569
"Travis County, TX",2020,"Units in All Multifamily Structures",3,11,502
"Travis County, TX",2020,"Units in All Multifamily Structures",3,12,"1,538"
"Travis County, TX",2020,"Units in 2-Unit Multifamily Structures",4,1,10
"Travis County, TX",2020,"Units in 2-Unit Multifamily Structures",4,2,24
"Travis County, TX",2020,"Units in 2-Unit Multifamily Structures",4,3,10
"Travis County, TX",2020,"Units in 2-Unit Multifamily Structures",4,4,26
"Travis County, TX",2020,"Units in 2-Unit Multifamily Structures",4,5,18
"Travis County, TX",2020,"Units in 2-Unit Multifamily Structures",4,6,10
"Travis County, TX",2020,"Units in 2-Unit Multifamily Structures",4,7,10
"Travis County, TX",2020,"Units in 2-Unit Multifamily Structures",4,8,22
"Travis County, TX",2020,"Units in 2-Unit Multifamily Structures",4,9,16
"Travis County, TX",2020,"Units in 2-Unit Multifamily Structures",4,10,38
"Travis County, TX",2020,"Units in 2-Unit Multifamily Structures",4,11,12
"Travis County, TX",2020,"Units in 2-Unit Multifamily Structures",4,12,24
"Travis County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,1,0
"Travis County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,2,0
"Travis County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,3,0
"Travis County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,4,0
"Travis County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,5,18
"Travis County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,6,0
"Travis County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,7,20
"Travis County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,8,7
"Travis County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,9,3
"Travis County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,10,3
"Travis County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,11,0
"Travis County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,12,0
"Travis County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,1,"2,347"
"Travis County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,2,"1,698"
"Travis County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,3,517
"Travis County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,4,"1,645"
"Travis County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,5,"1,316"
"Travis County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,6,691
"Travis County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,7,"1,868"
"Travis County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,8,"1,299"
"Travis County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,9,"2,093"
"Travis County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,10,528
"Travis County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,11,490
"Travis County, TX",2020,"Units in 5+-Unit Multifamily Structures",6,12,"1,514"
"Travis County, TX",2021,"Total Units",1,1,"2,993"
"Travis County, TX",2021,"Total Units",1,2,"3,073"
"Travis County, TX",2021,"Total Units",1,3,"2,492"
"Travis County, TX",2021,"Total Units",1,4,"1,935"
"Travis County, TX",2021,"Total Units",1,5,"2,589"
"Travis County, TX",2021,"Total Units",1,6,"2,318"
"Travis County, TX",2021,"Total Units",1,7,"2,104"
"Travis County, TX",2021,"Total Units",1,8,"4,015"
"Travis County, TX",2021,"Total Units",1,9,"1,178"
"Travis County, TX",2021,"Total Units",1,10,"1,534"
"Travis County, TX",2021,"Total Units",1,11,"2,129"
"Travis County, TX",2021,"Total Units",1,12,"2,739"
"Travis County, TX",2021,"Units in Single Family Structures",2,1,673
"Travis County, TX",2021,"Units in Single Family Structures",2,2,777
"Travis County, TX",2021,"Units in Single Family Structures",2,3,871
"Travis County, TX",2021,"Units in Single Family Structures",2,4,"1,122"
"Travis County, TX",2021,"Units in Single Family Structures",2,5,"1,058"
"Travis County, TX",2021,"Units in Single Family Structures",2,6,932
"Travis County, TX",2021,"Units in Single Family Structures",2,7,676
"Travis County, TX",2021,"Units in Single Family Structures",2,8,659
"Travis County, TX",2021,"Units in Single Family Structures",2,9,542
"Travis County, TX",2021,"Units in Single Family Structures",2,10,576
