county_name,state,year,month,date,treated,post,treated_post,total_permits,single_family,multifamily
Ca Losangeles,California,2021,12,2021-12-01,1,1,1,1844,592,2504
Ca Losangeles,California,2022,1,2022-01-01,1,1,1,1508,678,1660
Ca Losangeles,California,2022,2,2022-02-01,1,1,1,2376,602,3548
Ca Losangeles,California,2022,3,2022-03-01,1,1,1,1900,812,2176
Ca Losangeles,California,2022,4,2022-04-01,1,1,1,2730,696,4068
Ca Losangeles,California,2022,5,2022-05-01,1,1,1,2850,697,4306
Ca Losangeles,California,2022,6,2022-06-01,1,1,1,2342,737,3210
Ca Losangeles,California,2022,7,2022-07-01,1,1,1,1764,642,2244
Ca Losangeles,California,2022,8,2022-08-01,1,1,1,2628,834,3588
Ca Losangeles,California,2022,9,2022-09-01,1,1,1,2924,589,4670
Ca Losangeles,California,2022,10,2022-10-01,1,1,1,1969,574,2790
Ca Losangeles,California,2022,11,2022-11-01,1,1,1,1818,548,2540
Ca Losangeles,California,2022,12,2022-12-01,1,1,1,1574,637,1874
Ca Orange,California,2018,1,2018-01-01,1,0,0,809,285,1048
Ca Orange,California,2018,2,2018-02-01,1,0,0,566,391,350
Ca Orange,California,2018,3,2018-03-01,1,0,0,650,441,418
Ca Orange,California,2018,4,2018-04-01,1,0,0,530,384,292
Ca Orange,California,2018,5,2018-05-01,1,0,0,787,523,528
Ca Orange,California,2018,6,2018-06-01,1,0,0,570,326,488
Ca Orange,California,2018,7,2018-07-01,1,0,0,780,268,1024
Ca Orange,California,2018,8,2018-08-01,1,0,0,513,415,196
Ca Orange,California,2018,9,2018-09-01,1,0,0,833,298,1070
Ca Orange,California,2018,10,2018-10-01,1,0,0,288,202,172
Ca Orange,California,2018,11,2018-11-01,1,0,0,810,243,1134
Ca Orange,California,2018,12,2018-12-01,1,0,0,409,267,284
Ca Orange,California,2019,1,2019-01-01,1,0,0,437,214,446
Ca Orange,California,2019,2,2019-02-01,1,0,0,310,197,226
Ca Orange,California,2019,3,2019-03-01,1,0,0,618,239,758
Ca Orange,California,2019,4,2019-04-01,1,0,0,658,416,484
Ca Orange,California,2019,5,2019-05-01,1,0,0,501,302,398
Ca Orange,California,2019,6,2019-06-01,1,0,0,356,246,220
Ca Orange,California,2019,7,2019-07-01,1,0,0,541,314,454
Ca Orange,California,2019,8,2019-08-01,1,0,0,503,303,400
Ca Orange,California,2019,9,2019-09-01,1,0,0,1320,225,2190
Ca Orange,California,2019,10,2019-10-01,1,0,0,777,329,896
Ca Orange,California,2019,11,2019-11-01,1,0,0,728,301,854
Ca Orange,California,2019,12,2019-12-01,1,0,0,1555,271,2568
Ca Orange,California,2020,1,2020-01-01,1,1,1,270,201,138
Ca Orange,California,2020,2,2020-02-01,1,1,1,458,343,230
Ca Orange,California,2020,3,2020-03-01,1,1,1,640,294,692
Ca Orange,California,2020,4,2020-04-01,1,1,1,407,95,624
Ca Orange,California,2020,5,2020-05-01,1,1,1,621,164,914
Ca Orange,California,2020,6,2020-06-01,1,1,1,382,292,180
Ca Orange,California,2020,7,2020-07-01,1,1,1,365,264,202
Ca Orange,California,2020,8,2020-08-01,1,1,1,344,244,200
Ca Orange,California,2020,9,2020-09-01,1,1,1,426,258,336
Ca Orange,California,2020,10,2020-10-01,1,1,1,1016,304,1424
Ca Orange,California,2020,11,2020-11-01,1,1,1,713,334,758
Ca Orange,California,2020,12,2020-12-01,1,1,1,732,218,1028
Ca Orange,California,2021,1,2021-01-01,1,1,1,981,221,1520
Ca Orange,California,2021,2,2021-02-01,1,1,1,802,275,1054
Ca Orange,California,2021,3,2021-03-01,1,1,1,1572,425,2294
Ca Orange,California,2021,4,2021-04-01,1,1,1,483,290,386
Ca Orange,California,2021,5,2021-05-01,1,1,1,465,279,372
Ca Orange,California,2021,6,2021-06-01,1,1,1,322,257,130
Ca Orange,California,2021,7,2021-07-01,1,1,1,705,271,868
Ca Orange,California,2021,8,2021-08-01,1,1,1,287,221,132
Ca Orange,California,2021,9,2021-09-01,1,1,1,600,401,398
Ca Orange,California,2021,10,2021-10-01,1,1,1,547,447,200
Ca Orange,California,2021,11,2021-11-01,1,1,1,613,239,748
Ca Orange,California,2021,12,2021-12-01,1,1,1,630,193,874
Ca Orange,California,2022,1,2022-01-01,1,1,1,259,231,56
Ca Orange,California,2022,2,2022-02-01,1,1,1,443,290,306
Ca Orange,California,2022,3,2022-03-01,1,1,1,568,376,384
Ca Orange,California,2022,4,2022-04-01,1,1,1,400,308,184
Ca Orange,California,2022,5,2022-05-01,1,1,1,691,292,798
Ca Orange,California,2022,6,2022-06-01,1,1,1,733,263,940
Ca Orange,California,2022,7,2022-07-01,1,1,1,287,196,182
Ca Orange,California,2022,8,2022-08-01,1,1,1,385,270,230
Ca Orange,California,2022,9,2022-09-01,1,1,1,998,221,1554
Ca Orange,California,2022,10,2022-10-01,1,1,1,490,178,624
Ca Orange,California,2022,11,2022-11-01,1,1,1,269,165,208
Ca Orange,California,2022,12,2022-12-01,1,1,1,687,160,1054
Ca Sacramento,California,2018,1,2018-01-01,1,0,0,490,275,430
Ca Sacramento,California,2018,2,2018-02-01,1,0,0,195,183,24
Ca Sacramento,California,2018,3,2018-03-01,1,0,0,417,373,88
Ca Sacramento,California,2018,4,2018-04-01,1,0,0,272,272,0
Ca Sacramento,California,2018,5,2018-05-01,1,0,0,755,338,834
Ca Sacramento,California,2018,6,2018-06-01,1,0,0,592,477,230
Ca Sacramento,California,2018,7,2018-07-01,1,0,0,440,342,196
Ca Sacramento,California,2018,8,2018-08-01,1,0,0,404,322,164
Ca Sacramento,California,2018,9,2018-09-01,1,0,0,241,223,36
Ca Sacramento,California,2018,10,2018-10-01,1,0,0,366,290,152
Ca Sacramento,California,2018,11,2018-11-01,1,0,0,266,254,24
Ca Sacramento,California,2018,12,2018-12-01,1,0,0,229,229,0
Ca Sacramento,California,2019,1,2019-01-01,1,0,0,391,230,322
Ca Sacramento,California,2019,2,2019-02-01,1,0,0,300,185,230
Ca Sacramento,California,2019,3,2019-03-01,1,0,0,426,410,32
Ca Sacramento,California,2019,4,2019-04-01,1,0,0,549,365,368
Ca Sacramento,California,2019,5,2019-05-01,1,0,0,413,377,72
Ca Sacramento,California,2019,6,2019-06-01,1,0,0,439,389,100
Ca Sacramento,California,2019,7,2019-07-01,1,0,0,601,275,652
Ca Sacramento,California,2019,8,2019-08-01,1,0,0,340,323,34
Ca Sacramento,California,2019,9,2019-09-01,1,0,0,300,288,24
Ca Sacramento,California,2019,10,2019-10-01,1,0,0,1024,416,1216
Ca Sacramento,California,2019,11,2019-11-01,1,0,0,466,379,174
Ca Sacramento,California,2019,12,2019-12-01,1,0,0,291,260,62
Ca Sacramento,California,2020,1,2020-01-01,1,1,1,464,283,362
Ca Sacramento,California,2020,2,2020-02-01,1,1,1,391,349,84
Ca Sacramento,California,2020,3,2020-03-01,1,1,1,402,279,246
Ca Sacramento,California,2020,4,2020-04-01,1,1,1,129,118,22
Ca Sacramento,California,2020,5,2020-05-01,1,1,1,818,161,1314
Ca Sacramento,California,2020,6,2020-06-01,1,1,1,865,306,1118
Ca Sacramento,California,2020,7,2020-07-01,1,1,1,306,292,28
Ca Sacramento,California,2020,8,2020-08-01,1,1,1,351,261,180
Ca Sacramento,California,2020,9,2020-09-01,1,1,1,495,351,288
Ca Sacramento,California,2020,10,2020-10-01,1,1,1,405,342,126
Ca Sacramento,California,2020,11,2020-11-01,1,1,1,427,248,358
Ca Sacramento,California,2020,12,2020-12-01,1,1,1,1055,454,1202
Ca Sacramento,California,2021,1,2021-01-01,1,1,1,301,225,152
Ca Sacramento,California,2021,2,2021-02-01,1,1,1,467,467,0
Ca Sacramento,California,2021,3,2021-03-01,1,1,1,664,376,576
Ca Sacramento,California,2021,4,2021-04-01,1,1,1,703,379,648
Ca Sacramento,California,2021,5,2021-05-01,1,1,1,513,451,124
Ca Sacramento,California,2021,6,2021-06-01,1,1,1,725,412,626
Ca Sacramento,California,2021,7,2021-07-01,1,1,1,266,262,8
Ca Sacramento,California,2021,8,2021-08-01,1,1,1,529,280,498
Ca Sacramento,California,2021,9,2021-09-01,1,1,1,225,217,16
Ca Sacramento,California,2021,10,2021-10-01,1,1,1,357,315,84
Ca Sacramento,California,2021,11,2021-11-01,1,1,1,472,299,346
Ca Sacramento,California,2021,12,2021-12-01,1,1,1,808,268,1080
Ca Sacramento,California,2022,1,2022-01-01,1,1,1,389,295,188
Ca Sacramento,California,2022,2,2022-02-01,1,1,1,515,329,372
Ca Sacramento,California,2022,3,2022-03-01,1,1,1,628,465,326
Ca Sacramento,California,2022,4,2022-04-01,1,1,1,582,387,390
Ca Sacramento,California,2022,5,2022-05-01,1,1,1,387,373,28
Ca Sacramento,California,2022,6,2022-06-01,1,1,1,758,394,728
Ca Sacramento,California,2022,7,2022-07-01,1,1,1,212,208,8
Ca Sacramento,California,2022,8,2022-08-01,1,1,1,591,263,656
Ca Sacramento,California,2022,9,2022-09-01,1,1,1,372,273,198
Ca Sacramento,California,2022,10,2022-10-01,1,1,1,269,265,8
Ca Sacramento,California,2022,11,2022-11-01,1,1,1,198,192,12
Ca Sacramento,California,2022,12,2022-12-01,1,1,1,290,191,198
Ca Sandiego,California,2018,1,2018-01-01,1,0,0,1265,420,1690
Ca Sandiego,California,2018,2,2018-02-01,1,0,0,596,210,772
Ca Sandiego,California,2018,3,2018-03-01,1,0,0,912,307,1210
Ca Sandiego,California,2018,4,2018-04-01,1,0,0,953,264,1378
Ca Sandiego,California,2018,5,2018-05-01,1,0,0,1775,643,2264
Ca Sandiego,California,2018,6,2018-06-01,1,0,0,1455,297,2316
Ca Sandiego,California,2018,7,2018-07-01,1,0,0,384,246,276
Ca Sandiego,California,2018,8,2018-08-01,1,0,0,504,308,392
Ca Sandiego,California,2018,9,2018-09-01,1,0,0,689,215,948
Ca Sandiego,California,2018,10,2018-10-01,1,0,0,449,236,426
Ca Sandiego,California,2018,11,2018-11-01,1,0,0,273,198,150
Ca Sandiego,California,2018,12,2018-12-01,1,0,0,533,166,734
Ca Sandiego,California,2019,1,2019-01-01,1,0,0,344,248,192
Ca Sandiego,California,2019,2,2019-02-01,1,0,0,272,191,162
Ca Sandiego,California,2019,3,2019-03-01,1,0,0,519,257,524
Ca Sandiego,California,2019,4,2019-04-01,1,0,0,902,317,1170
Ca Sandiego,California,2019,5,2019-05-01,1,0,0,1324,244,2160
Ca Sandiego,California,2019,6,2019-06-01,1,0,0,716,293,846
Ca Sandiego,California,2019,7,2019-07-01,1,0,0,424,294,260
Ca Sandiego,California,2019,8,2019-08-01,1,0,0,919,242,1354
Ca Sandiego,California,2019,9,2019-09-01,1,0,0,976,201,1550
Ca Sandiego,California,2019,10,2019-10-01,1,0,0,734,309,850
Ca Sandiego,California,2019,11,2019-11-01,1,0,0,441,230,422
Ca Sandiego,California,2019,12,2019-12-01,1,0,0,511,197,628
Ca Sandiego,California,2020,1,2020-01-01,1,1,1,624,262,724
Ca Sandiego,California,2020,2,2020-02-01,1,1,1,467,371,192
Ca Sandiego,California,2020,3,2020-03-01,1,1,1,859,200,1318
Ca Sandiego,California,2020,4,2020-04-01,1,1,1,674,156,1036
Ca Sandiego,California,2020,5,2020-05-01,1,1,1,621,136,970
Ca Sandiego,California,2020,6,2020-06-01,1,1,1,865,342,1046
Ca Sandiego,California,2020,7,2020-07-01,1,1,1,752,249,1006
Ca Sandiego,California,2020,8,2020-08-01,1,1,1,990,257,1466
Ca Sandiego,California,2020,9,2020-09-01,1,1,1,547,238,618
Ca Sandiego,California,2020,10,2020-10-01,1,1,1,898,266,1264
Ca Sandiego,California,2020,11,2020-11-01,1,1,1,602,146,912
Ca Sandiego,California,2020,12,2020-12-01,1,1,1,1548,275,2546
Ca Sandiego,California,2021,1,2021-01-01,1,1,1,978,226,1504
Ca Sandiego,California,2021,2,2021-02-01,1,1,1,750,278,944
Ca Sandiego,California,2021,3,2021-03-01,1,1,1,894,294,1200
Ca Sandiego,California,2021,4,2021-04-01,1,1,1,540,267,546
Ca Sandiego,California,2021,5,2021-05-01,1,1,1,391,196,390
Ca Sandiego,California,2021,6,2021-06-01,1,1,1,872,288,1168
Ca Sandiego,California,2021,7,2021-07-01,1,1,1,684,235,898
Ca Sandiego,California,2021,8,2021-08-01,1,1,1,1202,332,1740
Ca Sandiego,California,2021,9,2021-09-01,1,1,1,662,286,752
Ca Sandiego,California,2021,10,2021-10-01,1,1,1,875,295,1160
Ca Sandiego,California,2021,11,2021-11-01,1,1,1,514,260,508
Ca Sandiego,California,2021,12,2021-12-01,1,1,1,1034,255,1558
Ca Sandiego,California,2022,1,2022-01-01,1,1,1,766,329,874
Ca Sandiego,California,2022,2,2022-02-01,1,1,1,593,299,588
Ca Sandiego,California,2022,3,2022-03-01,1,1,1,1148,354,1588
Ca Sandiego,California,2022,4,2022-04-01,1,1,1,1019,388,1262
Ca Sandiego,California,2022,5,2022-05-01,1,1,1,701,465,472
Ca Sandiego,California,2022,6,2022-06-01,1,1,1,1564,370,2388
Ca Sandiego,California,2022,7,2022-07-01,1,1,1,396,251,290
Ca Sandiego,California,2022,8,2022-08-01,1,1,1,1080,227,1706
Ca Sandiego,California,2022,9,2022-09-01,1,1,1,653,229,848
Ca Sandiego,California,2022,10,2022-10-01,1,1,1,421,189,464
Ca Sandiego,California,2022,11,2022-11-01,1,1,1,401,230,342
Ca Sandiego,California,2022,12,2022-12-01,1,1,1,701,189,1024
Tx Bexar,Texas,2018,1,2018-01-01,0,0,0,937,343,1188
Tx Bexar,Texas,2018,2,2018-02-01,0,0,0,341,317,48
Tx Bexar,Texas,2018,3,2018-03-01,0,0,0,460,428,64
Tx Bexar,Texas,2018,4,2018-04-01,0,0,0,341,330,22
Tx Bexar,Texas,2018,5,2018-05-01,0,0,0,783,437,692
Tx Bexar,Texas,2018,6,2018-06-01,0,0,0,806,402,808
Tx Bexar,Texas,2018,7,2018-07-01,0,0,0,840,424,832
Tx Bexar,Texas,2018,8,2018-08-01,0,0,0,443,416,54
Tx Bexar,Texas,2018,9,2018-09-01,0,0,0,662,337,650
Tx Bexar,Texas,2018,10,2018-10-01,0,0,0,784,412,744
Tx Bexar,Texas,2018,11,2018-11-01,0,0,0,324,292,64
Tx Bexar,Texas,2018,12,2018-12-01,0,0,0,650,238,824
Tx Bexar,Texas,2019,1,2019-01-01,0,0,0,123,94,58
Tx Bexar,Texas,2019,2,2019-02-01,0,0,0,2365,501,3728
Tx Bexar,Texas,2019,3,2019-03-01,0,0,0,412,391,42
Tx Bexar,Texas,2019,4,2019-04-01,0,0,0,1301,412,1778
Tx Bexar,Texas,2019,5,2019-05-01,0,0,0,514,503,22
Tx Bexar,Texas,2019,6,2019-06-01,0,0,0,894,442,904
Tx Bexar,Texas,2019,7,2019-07-01,0,0,0,910,493,834
Tx Bexar,Texas,2019,8,2019-08-01,0,0,0,1081,527,1108
Tx Bexar,Texas,2019,9,2019-09-01,0,0,0,1114,405,1418
Tx Bexar,Texas,2019,10,2019-10-01,0,0,0,693,543,300
Tx Bexar,Texas,2019,11,2019-11-01,0,0,0,1087,425,1324
Tx Bexar,Texas,2019,12,2019-12-01,0,0,0,663,345,636
Tx Bexar,Texas,2020,1,2020-01-01,0,1,0,717,427,580
Tx Bexar,Texas,2020,2,2020-02-01,0,1,0,598,354,488
Tx Bexar,Texas,2020,3,2020-03-01,0,1,0,954,494,920
Tx Bexar,Texas,2020,4,2020-04-01,0,1,0,716,327,778
Tx Bexar,Texas,2020,5,2020-05-01,0,1,0,696,317,758
Tx Bexar,Texas,2020,6,2020-06-01,0,1,0,1010,411,1198
Tx Bexar,Texas,2020,7,2020-07-01,0,1,0,1019,471,1096
Tx Bexar,Texas,2020,8,2020-08-01,0,1,0,1346,426,1840
Tx Bexar,Texas,2020,9,2020-09-01,0,1,0,447,416,62
Tx Bexar,Texas,2020,10,2020-10-01,0,1,0,1062,584,956
Tx Bexar,Texas,2020,11,2020-11-01,0,1,0,867,509,716
Tx Bexar,Texas,2020,12,2020-12-01,0,1,0,962,597,730
Tx Bexar,Texas,2021,1,2021-01-01,0,1,0,1419,698,1442
Tx Bexar,Texas,2021,2,2021-02-01,0,1,0,1228,593,1270
Tx Bexar,Texas,2021,3,2021-03-01,0,1,0,1624,869,1510
Tx Bexar,Texas,2021,4,2021-04-01,0,1,0,1348,673,1350
Tx Bexar,Texas,2021,5,2021-05-01,0,1,0,887,818,138
Tx Bexar,Texas,2021,6,2021-06-01,0,1,0,1733,636,2194
Tx Bexar,Texas,2021,7,2021-07-01,0,1,0,1494,612,1764
Tx Bexar,Texas,2021,8,2021-08-01,0,1,0,1744,713,2062
Tx Bexar,Texas,2021,9,2021-09-01,0,1,0,1012,583,858
Tx Bexar,Texas,2021,10,2021-10-01,0,1,0,1013,675,676
Tx Bexar,Texas,2021,11,2021-11-01,0,1,0,1089,457,1264
Tx Bexar,Texas,2021,12,2021-12-01,0,1,0,698,382,632
Tx Bexar,Texas,2022,1,2022-01-01,0,1,0,2085,545,3080
Tx Bexar,Texas,2022,2,2022-02-01,0,1,0,861,549,624
Tx Bexar,Texas,2022,3,2022-03-01,0,1,0,1385,687,1396
Tx Bexar,Texas,2022,4,2022-04-01,0,1,0,1674,873,1602
Tx Bexar,Texas,2022,5,2022-05-01,0,1,0,1562,656,1812
Tx Bexar,Texas,2022,6,2022-06-01,0,1,0,1907,523,2768
Tx Bexar,Texas,2022,7,2022-07-01,0,1,0,1905,410,2990
Tx Bexar,Texas,2022,8,2022-08-01,0,1,0,1642,282,2720
